opinions/0/sentiment,opinions/0/aspect,opinions/0/target_entity,id,text,opinions/1/sentiment,opinions/1/aspect,opinions/1/target_entity,opinions/2/sentiment,opinions/2/aspect,opinions/2/target_entity,opinions/3/sentiment,opinions/3/aspect,opinions/3/target_entity,opinions/4/sentiment,opinions/4/aspect,opinions/4/target_entity,opinions/5/sentiment,opinions/5/aspect,opinions/5/target_entity,opinions/6/sentiment,opinions/6/aspect,opinions/6/target_entity,opinions/7/sentiment,opinions/7/aspect,opinions/7/target_entity,opinions/8/sentiment,opinions/8/aspect,opinions/8/target_entity,opinions/9/sentiment,opinions/9/aspect,opinions/9/target_entity
,,,748,(LOCATION1),,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1651,"(No offence to anyone living there), we used to visit someone in LOCATION1 and it was SOOOOOOOOOOOO DEPRESSING",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2131,(avoid LOCATION1),,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1051,(highly recommended) LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1552,(its close to LOCATION1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2109,(nuff said) Royal Observatory LOCATION1 (being extended at the moment but still open),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1358,"(seriously) Hi, I am 16 years old and live in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,542,) And no need to worry about problems with the area because LOCATION1 is a safe and pleasant suburban town,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,233,") At that time, LOCATION1 and richmond became London Boroughs",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,green-nature,LOCATION1,273,) I should mention that the area on the LOCATION1 side of LOCATION1 is generally a bit quieter and leafier ,Positive,quiet,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,789,") I, personally, love LOCATION1, (about three miles up the road from LOCATION2), but again, it's quite dear to live down there",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,2125,") If you can afford to be close to London  consider LOCATION1 , its probably the nicest area within spitting distance of London",Positive,general,LOCATION1,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2624,") LOCATION1 and LOCATION2 are bloody gorgeous , ( but again , VERY expensive",Positive,general,LOCATION1,Negative,price,LOCATION2,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,989,") LOCATION1 is very central , and its easy to get to anything , but its not very residential",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,touristy,LOCATION1,2503,") LOCATION1's full of hotels, too much into the turistic thing  but of course it's just what I think and that doesn't count",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,521,) and LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,2213,) and LOCATION1 also have lots of flat-shares and good transport links,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2811,", and LOCATION1 and LOCATION2, a bit further in on that side , but not very hip and happening, a bit drab",Negative,transit-location,LOCATION1,Negative,transit-location,LOCATION2,Negative,general,LOCATION2,,,,,,,,,,,,,,,,,,
,,,1670,- Cached Student rental agents in LOCATION1 with student accommodation to rent,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2184,- My friend will be working near LOCATION1 / Embankment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2030,- North of LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,quiet,LOCATION1,1472,- The high street gets very busy at the weekend and in the summer because LOCATION1 is listed in all the tourist guides as a 'must see' alternative place in London,Positive,touristy,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2413,"-Bramah Museum of Tea and Coffee -Cartoon Museum -Free lunchtime concerts at St Martin In The Fields -Sunday Stroll Skate in LOCATION1 -Comedy Cafe (free on Wednesday nights) -In the 02 you can get superimposed into a music video, use props and makeup and stuff",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2103,"-if you were situated in LOCATION1, would it really be possible to be able to get into an agency in London, although they are the best ones",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1258,"15 Eccleston Street, LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,911,"42-44 LOCATION1 High Street, London SW11. Tel: 020 7787 2227 Fax: 020 7787 2225.[contact: Sylvia Rushbrooke",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1516,"46 richmond Road, LOCATION1, KT2 5EE",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,415,:) LOCATION1 is a nice place to live,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,708,":0) EDIT: Ok, but you still have not specified a price, because LOCATION1 and surrounding areas, can have either very cheap of very expensive ;0) Depending on what your looking for",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2632,"< have you tried somewhere on the outskirts, like LOCATION1, or LOCATION2, ect",Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2551,= LOCATION2 and LOCATION1 area is still the cheapest to rent AND to buy in London,Positive,price,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
,,,544,"=)  LOCATION1 FC does have a SW (south-west) postcode, but Londoners know that postcodes here are kind of eccentric, not least because there's no NE postcode at all",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,2562,A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas ,Positive,general,LOCATION2,Positive,general,LOCATION1,Negative,transit-location,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,945,A cheaper option yet is LOCATION1 which is just right over the river from LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1569,A circus school in LOCATION1 - now that really lowers the tone,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION1,2506,A cool place to eat and drink in LOCATION2 is LOCATION1,Positive,dining,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2391,A fair number of students live around the broad area of LOCATION1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,326,A great place LOCATION1 Middx is not in London and is only a postal name as LOCATION2 is now Surrey -,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1841,A houseboat went up for sale yesterday which is moored at LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1143,"A lot of events happen in LOCATION1, for example: Katie Price and others do book signings there; JLS performed there one-off concert in the Fairfields Hall (I've performed there before",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,A lot of financial/corporate firms are based in LOCATION1 and there are stack-loads of apartments for rent around there,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,shopping,LOCATION1,1956,A new Sainsbury's local has just opened next to LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1607,"A new friend of mine is from London, UK and I asked her what part she's from, she said LOCATION2, which is in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,950,A number of train stations have ben upgraded including LOCATION2 and LOCATION1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,shopping,LOCATION1,1157,A visit to one of the Westfield shopping centres at  LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1440,"AL-DAR 1  LOCATION1 ROAD, London",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,160,"AL-DAR CAFE  LOCATION1 ROAD, London",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,green-nature,LOCATION2,2779,AND JUST TO LET YOU KNOW LOCATION1 AND LOCATION2 IS A BEAUTIFUL AREA WITH LOADS OF PRETTY GARDENS SQUARES AND PARKS BUT STILL REALLY URBAN AND FANCY  IT CAN GET NOISY BUT THATS PRETTY MUCH IT,Positive,general,LOCATION2,Positive,general,LOCATION1,Negative,quiet,LOCATION1,Negative,quiet,LOCATION2,Positive,green-nature,LOCATION1,,,,,,,,,,,,
Positive,transit-location,LOCATION1,204,Actually LOCATION1 is quite expensive because of the cricket ground and its close proximity to Vaxhaull,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,147,Actually LOCATION1 isn't on the tube network,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2471,Actually Lara LOCATION1 and LOCATION2 is only the 10th safest London borough,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,248,Actually what I found is that LOCATION1 is in Sureey but in all other ptactical means it IS part of London/in London,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,1708,"Actually, the private rents in LOCATION1 seem affordable by London standards",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2813,Add LOCATION1 and LOCATION2 as good areas,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2280,Adelaide Avenue is nearer to Ladywell station which has a similar journey time to LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1174,After a few years away from the area I've now moved to LOCATION1 and I know you can't get away with it now because there is a conductor on the train so often,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,223,"Again, more towards the outer edges/boarders of LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2139,"Agree with LOCATION2 I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,quiet,LOCATION1,1958,"Ah, I can dream  LOCATION1 - lots to do around there but it is quiet on the weekends and is very peaceful",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION2,2863,Airport-wise theres not much in it  LOCATION2 and LOCATION1 all have good tranport links to central London,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,"Al-Ansar Community Centre, LOCATION1, Essex",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,406,All LOCATION1 of London are free and are open to the public from dawn to dusk most days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,1780,All around LOCATION1 there are many rich people in their classy homes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,681,All crime figures are below average but LOCATION1 is more dangerous than either of the other two places,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,green-nature,LOCATION1,1362,All free  I think your two would probably also enjoy the huge botanic gardens at LOCATION1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1572,"All human life can be found in LOCATION1, from immigrants and students to celebrities and literati types",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,2468,"All in all , I think LOCATION1 is the best place in London to live",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2983,All in all I think either LOCATION2 or LOCATION1 are the worst areas I've ever been in  the east end of London ,Negative,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,"All of these codes, except for LOCATION1, are named after a large area in Outer London and spill out into the Home Counties",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,1707,"All these places, except for LOCATION1, have their own mainline stations (Southeastern) which will get you into Central London (LOCATION2) in 25 minutes or less",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2152,All this is REALLY easy to look up yourself  Look at a MAP  SE London YUCK I guess you mean the LOCATION1 area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,325,"Alot of LOCATION1 is being redeveloped, so getting better and better",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2640,"Alright for some, LOCATION1 or LOCATION2 would be best ",Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2588,"Also  LOCATION2 which is  slightly more mixed demographic compared to the more affluent LOCATION1 but certainly up and coming, it has good amenities (on the Jubilee line which is very efficient and a Sainsburys)",Negative,price,LOCATION1,Positive,multicultural,LOCATION2,Positive,shopping,LOCATION2,Positive,transit-location,LOCATION2,,,,,,,,,,,,,,,
,,,2296,"Also , LOCATION1 is an option , whats your opinions",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1264,"Also , nearby LOCATION1 is also great , they have a microbrewery that brews and sells its own beer on site",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,969,Also LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,2671,Also LOCATION1 and LOCATION2 are both quite safe nowadays,Positive,safety,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,2271,Also LOCATION1 has a train station to but not London Underground but national rail which can take you to LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1082,"Also LOCATION1 i like so much, but it's a bit more expensive  ",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2767,"Also LOCATION2, although it's a bit of a train journey to work, the lifestyle is very good  LOCATION1 has a bit of a reputation",Negative,transit-location,LOCATION2,Positive,live,LOCATION2,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION2,2795,Also avoid LOCATION1 and LOCATION2,Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,712,Also consider LOCATION1 as well - it's right next to Canada Water,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,991,Also could look around LOCATION1 area but think thats more were the grad students go,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2368,Also in the LOCATION1 area are museums such as the LOCATION1 museum or Jack the Ripper museum,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1668,Also in this area are the LOCATION1 Group (formerly known as the LOCATION2 and Reading Beds) and Thanet Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,598,Also it depeneds where you live this is what i can say for most parts of LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,162,Also places like LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2650,Also take a look at areas such as  LOCATION1 and LOCATION2,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1179,"Also try LOCATION1, one of my favourite places in the capital  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,99,"Also try LOCATION1, one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time ",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,shopping,LOCATION1,274,Also worth a visit is LOCATION1 for it's famous horsestable market which is like an Aladdin's Cave of curios,Positive,touristy,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,1380,"Also, I'm not sure whether you'd consider this a good or a bad thing (I say good), but LOCATION1 in particular happens to have a fairly sizeable Irish population",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1180,"Also, LOCATION1  has both National Rail and Overground Trains",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2997,"Also, as a general rule, LOCATION1 is the cheapest area, followed closely by LOCATION2",Positive,price,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,"Also, my grandfather was born and lived in the St  Giles ,LOCATION2 area and on his birth certificate(1879) it said St  Giles,LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1799,"Also, there are many different neighbourhoods in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,385,"Also, when the Jubilee Line is closed it's just a quick, frequent bus ride to LOCATION1 for the Northern Line (zone 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1654,"Also, you might want to check out LOCATION1 - it's a posh area just North of the centre,  with nice upmarket pubs/cafes/delis ",Positive,nightlife,LOCATION1,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,green-nature,LOCATION1,2406,Alternatively Trent Park in LOCATION1 has a small animal section ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2711,Alternatively move to somewhere like LOCATION2 ro LOCATION1 which isnt London but is still within 30 minutes ,Positive,general,LOCATION2,Positive,transit-location,LOCATION1,Positive,transit-location,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,dining,LOCATION2,2940,Alternatively try LOCATION1 / LOCATION2 (loads of bars and restaurants),Positive,nightlife,LOCATION1,Positive,nightlife,LOCATION2,Positive,dining,LOCATION1,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1002,"Alternatively,  LOCATION1 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month ",Positive,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,1293,"Although LOCATION1 has had a bad reputation in the past, I have lived here for 8 years now and have found the area I live in very friendly and quiet ",Positive,quiet,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1556,Although LOCATION1 is picturesque with its park and  it does have quite a high crime rate and because it is close to the centre of London it is rarther expensive,Negative,safety,LOCATION1,Positive,green-nature,LOCATION1,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1027,"Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,1924,An excellent secondary school called Dunraven is in LOCATION1 on LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,34,And LOCATION1 is certainly overpriced (although where isnt in London,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1573,"And LOCATION1, well my Mum and Dad live in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1500,"And WC1 is not the London, it's LOCATION1 if i'm not wrong",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,350,And if you talk cockney to anyone even the white LOCATION1 born and bred will look at you like your an idiot,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,197,And of course LOCATION1 rd doesn't count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1116,And then there's LOCATION2 or right in the heart of LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,936,And to make matters worse this has spread to most areas of LOCATION1 with the support of New Labour movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1473,And you don't have a cockney accent if you're from LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION2,2777,Another area LOCATION1 would be the cheapest on the list but has a high crime rate I think LOCATION2 ( N7 ) is getting expensive for very solid reasons,Negative,safety,LOCATION1,Positive,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,2731,"Another area you might look at too is LOCATION1 which has most of the same qualities , but the journey to Gatwick will be longer from there Yeah , east LOCATION2 is fairly accessible to London",Positive,transit-location,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1471,Another nice area is LOCATION1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,207,Another nice little town close to LOCATION2 is LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2872,Another option is LOCATION2 and LOCATION1 in Surrey,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
,,,375,"Another option may be, LOCATION2 which is located in LOCATION1 and is an area with a real village feel to it",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,735,Another place I would suggest is LOCATION1 which is just around the corner from St  Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1146,Another place that's great to go is LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION1,1628,"Another regularly excellent venue is  in LOCATION1 market, which has free live jazz and classical gigs four times a week",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,440,Any LOCATION1 area is good,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1715,"Any of my old buddies live up towards LOCATION1, -would be nice to see them,too",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2078,"Any where but LOCATION1, its rough and dangerous",Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,1467,"Anyhow , LOCATION1  is nice to live and has lots going on at night ( taking the night bus home sucks as well 'cause the tubes stop at 12ish )",Positive,nightlife,LOCATION1,Positive,live,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,384,"Anyway , London is huge but LOCATION1 is probably your best bet ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,640,"Anyway I hope this helps, I know LOCATION1 pretty well (lived here all my life",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1603,"Anyway, LOCATION1 is where a lot of my 27 year old friends live",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION2,2935,Anywhere BUT LOCATION1 or LOCATION2 ,Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,295,"Anywhere around LOCATION1 and LOCATION2, for example, can command extortionate rent",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1521,Anywhere around LOCATION1 is up and coming with the new Olympic village being built and its accompanying Westfiled shopping centre ,Positive,shopping,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,924,Anywhere north of London is going to be cheap compared to LOCATION2  i live in LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1630,"Apart from the crime that goes on in LOCATION1, it has the whole amazing cultural vibe",Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2417,"Apart from there , you could also find them in LOCATION2 and LOCATION1 along the A10 which is a big Turkish and Kurdish area We are a family with a thirteen year old daughter who currently live in Spain , and are in the process of moving to the UK , London specifically",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1490,"Apart from there, you could also find them in LOCATION2 and LOCATION1 along the A10 which is a big Turkish and Kurdish area I can't agree with musical7 that ALL fast food restaurants in London are halal, but they are very common, usually display their status on the window or frontage and range from fairly basic chicken n'chip places to some fairly smart joints",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION2,2641,"Areas of LOCATION1 are nice,  I would avoid LOCATION2 ",Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2528,Areas quite far North such as LOCATION1 are really nice ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION2,2768,"Areas such as  LOCATION1, LOCATION2, are lovely, residential, quiet and close to the center",Positive,quiet,LOCATION1,Positive,quiet,LOCATION2,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,2792,Areas such as LOCATION1 and LOCATION2 are good for low crime levels,Positive,safety,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2755,Areas such as LOCATION2 and LOCATION1 are pleasant but expensive,Negative,price,LOCATION2,Negative,price,LOCATION1,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2086,Areas that I dont feel quite so safe in  places like LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1035,Around LOCATION1  is probably the best choice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1301,"Around LOCATION1 (N4) - good public transport, but choose the location carefully",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,multicultural,LOCATION2,2580,As LOCATION1 has a Black community and LOCATION2 Chinese etc ;,Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,859,"As LOCATION1 isnt on the tube, housing is a bit cheaper, and I think its fairly nice",Negative,transit-location,LOCATION1,Positive,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,3000,"As a general rule, avoid certain areas of south London such as LOCATION1 and the LOCATION2 complex, which have bad reputations for drugs and gun crime",Negative,safety,LOCATION1,Negative,safety,LOCATION2,Negative,general,LOCATION2,,,,,,,,,,,,,,,,,,
,,,935,As close to LOCATION1 as possible,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2141,"As far as I know if you're looking for low crime rates, LOCATION1 is not really an option  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,2771,As far as living nearby LOCATION2 and LOCATION1 are much better ,Positive,live,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,2525,"As far as safety goes , I would say LOCATION1 would be the better choice Live in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2088,As for LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2356,"As for LOCATION1 well, it's not the safest of places",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,1313,"As for LOCATION1, its equally affluent and comes with some of the most exclusive real state in the world",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1290,"As for airports , if you choose LOCATION1 then LOCATION2 is the best bet",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,80,"As for areas to live, yeah LOCATION1 SW15 is great  if youre a millionaire",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,1581,"As for using postcodes it does give the person a rough idea of where in London the suburb is for example if you said it was in N22, you know that is LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION2,2664,"As for what to do , LOCATION1 is great for indie pubs and gigs , as is LOCATION2 ",Positive,nightlife,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,1072,"As much as I love LOCATION1, I wouldn't say it's the best It also depends on what your looking for in an area",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1138,As others have said avoid LOCATION1 like the plague - its got no soul,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,695,"As someone else said it's a football team not an area so your question doesn't really make any sense  LOCATION2 on the LOCATION1 no longer houses many people, it is a business park really",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,1913,As someone who does not live in LOCATION1 and compared to other places in London LOCATION1 is a rough area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,2459,As soon as you go outside zone 6 i e  LOCATION1 the prices are so high,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,multicultural,LOCATION1,550,"As well as being steeped in a rich history , LOCATION1 has a living , thriving , vibrant community",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1776,"As you earn more you can then decide more positively where to live when you start earning more Any where but LOCATION1, its rough and dangerous",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,754,"Aside from that, I will warn you that housing prices are probably ridiculous in LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,touristy,LOCATION1,680,"At LOCATION1 you can see the Cutty Sark ship museum,  and see where 0.00 latitude (or greenwich Mean time) starts",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,32,At least LOCATION1 has a tube,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,211,At least in LOCATION1 etc there is alot of violence ,,,,,,,,,,,,,,,,,,,,,,,,,,,
