OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText
The town of Rutland itself is beautiful and Id happily live there as its an upcoming youngish area to live,Rutland,live,1,Rutland,general,1," The town of LOCATION1 itself is beautiful, and I'd happily live there as its an upcoming, youngish area to live","[('Rutland', 'GPE')]"
The victoria and Albert Museum in Kent is also good,Kent,touristy,1,,,0, The victoria and Albert Museum in LOCATION1 is also good ,"[('Kent', 'GPE')]"
There are shops in Derbyshire you know you will not need to go into Central London every time you want a pint of milk,Derbyshire,shopping,1,,,0," There are shops in LOCATION1 you know, you won't need to go into Central London every time you want a pint of milk","[('Derbyshire', 'GPE'), ('Central London', 'GPE')]"
There is a large Turkish community where I live in West Midlands so you will be very welcome here especially,West Midlands,multicultural,1,,,0," There is a large Turkish community where I live in LOCATION1, so you will be very welcome here especially  ","[('West Midlands', 'GPE')]"
There was recently an article in Time Out saying that Bristol was the up and coming area,Bristol,general,1,,,0, There was recently an article in Time Out saying that LOCATION1 was the up and coming area,"[('Bristol', 'GPE')]"
Well Tyne and Wear is the home of the worlds longest street market,Tyne and Wear,shopping,1,,,0, Well LOCATION1 is the home of the worlds longest street market,"[('Tyne and Wear', 'GPE')]"
You will struggle to find something affordable in a desirable area of Rutland,Rutland,general,1,Rutland,price,0, You will struggle to find something  affordable in a desirable area of LOCATION1 ,"[('Rutland', 'GPE')]"
a bit further out like Buckinghamshire might satisfy you if you do not mind commuting,Buckinghamshire,transit-location,1,Buckinghamshire,general,1, a bit further out like LOCATION1 might satisfy you if you don't mind commuting,"[('Buckinghamshire', 'GPE')]"
a nice area is Wiltshire or South Yorkshire,South Yorkshire,general,1,Wiltshire,general,1, a nice area is LOCATION1 or LOCATION2,"[('Wiltshire', 'GPE')]"
a strong Vietnamese community based in the Essex and a sizeable Japanese community around the Gloucestershire area,Essex,multicultural,1,Gloucestershire,multicultural,1, a strong Vietnamese community based in the LOCATION1 and a sizeable Japanese community around the LOCATION2 area,"[('Vietnamese', 'GPE'), ('Essex', 'GPE'), ('Gloucestershire', 'GPE')]"
already looked in Greater London and cannot afford it,Greater London,price,0,,,0, already looked in LOCATION1 and cannot afford it,"[('Greater London', 'GPE')]"
an area like Isle of Wight is very residential and leafy,Isle of Wight,green-nature,1,,,0, an area like LOCATION1 is very residential and leafy,"[('Isle of Wight', 'GPE')]"
area around Leicestershire is nice middle class suburb with an arty feel lots of open space otherwise try Oxfordshire,Oxfordshire,general,1,Leicestershire,general,1," area around LOCATION2 is nice   middle class suburb with an arty feel, lots of open space otherwise try LOCATION1","[('Leicestershire', 'GPE'), ('Oxfordshire', 'GPE')]"
areas near West Sussex station lots of markets stores and pubs,West Sussex,nightlife,1,West Sussex,shopping,1," areas near LOCATION1 station, lots of markets, stores and pubs ","[('West Sussex', 'GPE')]"
as I said some areas around Durham are quite rich so you will have to look online to find what homes are available,Durham,price,0,,,0," as I said some areas around LOCATION1 are quite rich, so you'll have to look online to find what homes are available","[('Durham', 'GPE')]"
as for Hertfordshire itself the little Ive seen of it seems to be a lot of commuter flats I could not comment on culture and nightlife though,Hertfordshire,transit-location,1,,,0," as for LOCATION1 itself, the little I've seen of it seems to be a lot of commuter flats, I couldn't comment on culture and nightlife though","[('Hertfordshire', 'GPE')]"
avoid Northumberland the old tower blocks are gone but its still not got a nice vibe there,Northumberland,general,0,,,0," avoid LOCATION1,  the old tower blocks are gone but it's still not got a nice vibe there","[('Northumberland', 'GPE')]"
being in Rutland you would be very close to the Centre,Rutland,transit-location,1,,,0, being in LOCATION1 you would be very close to the Centre,"[('Rutland', 'GPE'), ('Centre', 'GPE')]"
both Cheshire and Berkshire have excellent shopping facilities,Berkshire,shopping,1,Cheshire,shopping,1, both LOCATION2 and LOCATION1 have excellent shopping facilities,"[('Cheshire', 'GPE'), ('Berkshire', 'GPE')]"
celebrities live in North Yorkshire  It is quite a wealthy area and is in the borough of North Yorkshire,North Yorkshire,price,0,,,0, celebrities live in LOCATION1 - It is quite a wealthy area and is in the borough of LOCATION1  ,"[('North Yorkshire', 'GPE'), ('North Yorkshire', 'GPE')]"
cheaper places that are still central include Suffolk and Lincolnshire as mentioned in other answers,Suffolk,transit-location,1,Lincolnshire,price,1," cheaper places that are still central include LOCATION2 and LOCATION1, as mentioned in other answers","[('Suffolk', 'GPE'), ('Lincolnshire', 'GPE')]"
do not live in the Cumbria it is pretty rough especially around Worcestershire,Cumbria,live,0,Worcestershire,safety,0, don't live in the LOCATION1 it is pretty rough especially around LOCATION2,"[('Cumbria', 'GPE'), ('Worcestershire', 'GPE')]"
even Bristol now is boasting huge rents because the London workers are moving in,Bristol,price,0,,,0, even LOCATION1 now is boasting huge rents because the London workers are moving in,"[('Bristol', 'GPE')]"
everybody associates Lincolnshire with a large Indian Community,Lincolnshire,multicultural,1,,,0, everybody associates LOCATION1 with a large Indian Community,"[('Lincolnshire', 'GPE')]"
everytime I stay round a friends in Northamptonshirethe wNorthamptonshiredential area look really depressing and dull,Northamptonshire,general,0,,,0, everytime I stay round a friends in LOCATION1the wLOCATION1dential area look really depressing and dull,[]
for example there are huge Jewish and Turkish communities in Merseyside and lots of Chinese people in the south especially around Worcestershire,Worcestershire,multicultural,1,Merseyside,multicultural,1," for example there are huge Jewish and Turkish communities in LOCATION1, and lots of Chinese people in the south especially around LOCATION2","[('Jewish', 'GPE'), ('Merseyside', 'GPE'), ('Chinese', 'GPE'), ('Worcestershire', 'GPE')]"
for example you could choose to live near Dorset where an uncompromisingly nice house would cost you upwards of a million,Dorset,price,0,,,0, for example you could choose to live near LOCATION1 where an uncompromisingly nice house would cost you upwards of a million,"[('Dorset', 'GPE')]"
from Suffolk your only a ten minuet drive from Rutland,Suffolk,transit-location,1,,,0, from LOCATION1 your only a ten minuet drive from LOCATION2,"[('Suffolk', 'GPE'), ('Rutland', 'GPE')]"
go for somewhere as close to Cambridgeshire as possible as its generally safer,Cambridgeshire,general,1,Cambridgeshire,safety,1, go for somewhere as close to LOCATION1 as possible as its generally safer,"[('Cambridgeshire', 'GPE')]"
i have family in Somerset and it is such a great place with the gardens it is only 45 minutes by tube to central London,Somerset,general,1,Somerset,transit-location,1, i have family in LOCATION1 and it is such a great place with the gardens  it is only 45 minutes by tube to central London,"[('Somerset', 'GPE'), ('London', 'GPE')]"
i live in Isle of Wight at the moment which is quite far away,Isle of Wight,transit-location,0,,,0," i live in LOCATION1 at the moment, which is quite far away","[('Isle of Wight', 'GPE')]"
i live in London  to be honest  East Sussex is not the best area,East Sussex,general,0,,,0," i live in London , to be honest ` LOCATION1 is not the best area","[('London', 'GPE'), ('East Sussex', 'GPE')]"
i think West Sussex and Buckinghamshire are pretty much nogo areas in Essex,Buckinghamshire,general,0,West Sussex,general,0, i think LOCATION2 and LOCATION1 are pretty much no-go areas in Essex,"[('West Sussex', 'GPE'), ('Buckinghamshire', 'GPE'), ('Essex', 'GPE')]"
i will recommend the Greater London area because there is low crime as far as i know and the houses are pretty reasonable maybe a bit expensive but it is worth it and there is good access to London by car i think and definitely good access by public transport,Greater London,price,0,Greater London,safety,1, i will recommend the LOCATION1 area because there  is low crime as far as i know and the houses are pretty reasonable maybe a bit expensive but it is worth it and there is good access to London by car (i think) and definitely good access by public transport ,"[('Greater London', 'GPE')]"
i would say most parts of Greater Manchester are total safe for anyone at any time,Greater Manchester,safety,1,,,0, i would say most parts of LOCATION1 are total safe for anyone at any time,"[('Greater Manchester', 'GPE')]"
i would try Northumberland or Durham as they are both in west London and are generally decent areas and some of the cheapest property in London will be found around there,Durham,price,1,Durham,general,1, i would try LOCATION1 or LOCATION2 as they are both in west London and are generally decent areas  and some of the cheapest property in London will be found around there,"[('Northumberland', 'GPE'), ('Durham', 'GPE')]"
i will say around Worcestershire area which has markets and supermarkets or near there like barnard area or caledonian road,Worcestershire,shopping,1,,,0," i'll say around LOCATION1 area, which has markets and supermarkets or near there like barnard area or caledonian road","[('Worcestershire', 'GPE')]"
i am moving to Rutland which is nicer but a lot more expensive,Rutland,general,1,Rutland,price,0, i'm moving to LOCATION1 which is nicer but a lot more expensive,"[('Rutland', 'GPE')]"
if I had enough money I would definitely live in Hampshire or Suffolk,Suffolk,price,0,Hampshire,price,0," if I had enough money, I would definitely live in LOCATION2 or LOCATION1","[('Hampshire', 'GPE'), ('Suffolk', 'GPE')]"
if head into places like Gloucestershire which will probably exceed your budget,Gloucestershire,price,0,,,0, if head into places like LOCATION1 which will probably exceed your budget,"[('Gloucestershire', 'GPE')]"
if something bad happens in London suburbs its seven out of then times in Lincolnshire,Lincolnshire,safety,0,,,0, if something bad happens in London suburbs it's seven out of then times in LOCATION1,"[('London', 'GPE'), ('Lincolnshire', 'GPE')]"
if yorue looking for a decent meal really head to Durham,Durham,dining,1,,,0," if yorue looking for a decent meal, really- head to LOCATION1","[('Durham', 'GPE')]"
if you are poor Gloucestershire will be great,Gloucestershire,general,0,,,0," if you are poor LOCATION1 will be great,","[('Gloucestershire', 'GPE')]"
if you can afford it move to the Derbyshire or Derbyshire lovely little areas,Derbyshire,general,1,Derbyshire,price,1," if you can afford it move to the LOCATION1 or LOCATION2, lovely little areas","[('Derbyshire', 'GPE'), ('Derbyshire', 'GPE')]"
if you had a limitless budget somewhere like West Midlands is a great choice but it  is a very upmarket area and,West Midlands,general,1,West Midlands,price,0, if you had a limitless budget somewhere like LOCATION1 is a great choice but it 's a very upmarket area and ,"[('West Midlands', 'GPE')]"
if you move to Rutland where im from then you will get cheaper accomodation and the train is only 30 minutes to central London,Rutland,transit-location,1,Rutland,price,1, if you move to LOCATION1 where im from then you will get cheaper accomodation and the train is only 30 minutes to central London,"[('Rutland', 'GPE'), ('London', 'GPE')]"
if you need a less costly place look at the area around Tyne and Wear on the Suffolk,Suffolk,price,1,Tyne and Wear,price,1," if you need a less costly place, look at the area around LOCATION2 on the LOCATION1  ","[('Tyne and Wear', 'GPE'), ('Suffolk', 'GPE')]"
it depends where in Warwickshire your going to live as there are some council astates there i would not live in,Warwickshire,live,0,,,0, it depends where in LOCATION1 your going to live as there are some council astates there i would not live in,"[('Warwickshire', 'GPE')]"
it is not that bad in Cornwall,Cornwall,general,1,,,0, it is not that bad in LOCATION1,"[('Cornwall', 'GPE')]"
it ok to live near Hertfordshire,Hertfordshire,live,1,,,0, it ok to live near LOCATION1 ,"[('Hertfordshire', 'GPE')]"
ive been to most of Northumberland at all times of the night without mishap,Northumberland,safety,1,,,0, ive been to most of LOCATION1 at all times of the night without mishap,"[('Northumberland', 'GPE')]"
just South of Leicestershire called Warwickshire which is notoriously rough,Warwickshire,safety,0,,,0," just South of LOCATION2 called LOCATION1, which is notoriously rough","[('Leicestershire', 'GPE'), ('Warwickshire', 'GPE')]"
living near to Suffolk would be very cool,Suffolk,live,1,,,0, living near to LOCATION1 would be very cool,[]
move to somewhere like East Riding of YorkshireOxfordshire youre not that far from the central,East Riding of Yorkshire,general,1,East Riding of Yorkshire,transit-location,1, move to somewhere like LOCATION2/LOCATION1 youre not that far from the central,"[('East Riding of YorkshireOxfordshire', 'GPE')]"
my friends in East Riding of Yorkshire and Hampshire have experienced much more crime and seen more scary things,East Riding of Yorkshire,safety,0,Hampshire,safety,0, my friends in LOCATION2 and LOCATION1 have experienced much more crime and seen more scary things,"[('East Riding of Yorkshire', 'GPE'), ('Hampshire', 'GPE')]"
nice places to live Kent Somerset London,Somerset,live,1,Kent,live,1," nice places to live LOCATION1, LOCATION2 London ","[('Kent Somerset London', 'GPE')]"
not all Norfolk is nice,Norfolk,general,0,,,0, not all LOCATION1 is nice  ,[]
not that long ago a woman was shot in the head for her phone in East Sussex,East Sussex,safety,0,,,0, not that long ago a woman was shot in the head for her phone in LOCATION1,"[('East Sussex', 'GPE')]"
out towards Cheshire places get affordable  these areas are quite green and nice despite what people say,Cheshire,green-nature,1,Cheshire,price,1," out towards LOCATION1 places get affordable - these areas are quite 'green and nice', despite what people say","[('Cheshire', 'GPE')]"
over here in E8 Cumbria things are just fine,Cumbria,general,1,,,0, over here in E8 LOCATION1 things are just fine,[]
places like Surrey and Devon are good to live in if you are looking for more quiet areas but be warned they arent very central,Surrey,quiet,1,Surrey,live,1, places like LOCATION1 and LOCATION2 are good to live in if you are looking for more quiet areas but be warned they arent very central ,"[('Surrey', 'GPE'), ('Devon', 'GPE')]"
places such as Herefordshire which is south London are up and coming areas that have quite a few council homes and nice area it is very close to the London centre only a few tube stops,Herefordshire,transit-location,1,Herefordshire,general,1," places such as LOCATION1, which is south London are up and coming areas, that have quite a few council homes and nice area, it is very close to the London centre, only a few tube stops","[('Herefordshire', 'GPE')]"
tehre are reasoanble shops on Derbyshire Road but not perhaps quite so many nice pubs and restaurants,Derbyshire,shopping,1,Derbyshire,dining,0, tehre are reasoanble shops on LOCATION1 Road but not perhaps quite so many nice pubs and restaurants,"[('Derbyshire Road', 'GPE')]"
the Staffordshire area is alot cheaper although it has alot of rougher areas and a fairly high crime rate  knife and gang crime mostly,Staffordshire,safety,0,Staffordshire,price,1, the LOCATION1 area is alot cheaper although it has alot of rougher areas and a fairly high crime rate - knife and gang crime mostly,"[('Staffordshire', 'GPE')]"
the big advantage of Bristol is the transport links at Finsbury Park Station you have got two tube lines and mainline rail lines and can get to just about anywhere in London easily,Bristol,transit-location,1,,,0, the big advantage of LOCATION1 is the transport links   at Finsbury Park Station you've got two tube lines and mainline rail lines and can get to just about anywhere in London easily   ,"[('Bristol', 'GPE')]"
the least environmental impact is to expand Leicestershire as its an established hub with proper transport links,Leicestershire,transit-location,1,,,0, the least environmental impact is to expand LOCATION1 as it's an established hub with proper transport links ,"[('Leicestershire', 'GPE')]"
the mainline train from Herefordshire only takes about 23 minutes to reach Somerset in Central London,Somerset,transit-location,1,Herefordshire,transit-location,1, the mainline train from LOCATION1  only takes about 23 minutes to reach LOCATION2 in Central London,"[('Herefordshire', 'GPE'), ('Somerset', 'GPE'), ('Central London', 'GPE')]"
the nice parts of Merseyside are very expensive,Merseyside,price,0,,,0, the nice parts of LOCATION1 are very expensive,"[('Merseyside', 'GPE')]"
the whole of the Buckinghamshire area is very crowded,Buckinghamshire,quiet,0,,,0, the whole of the LOCATION1 area is very crowded,"[('Buckinghamshire', 'GPE')]"
there is the northern end of Bristol where there is also good links to town,Bristol,transit-location,1,,,0, there is the northern end of LOCATION1 where there is also good links to town,"[('Bristol', 'GPE')]"
to be honest I meant Durham end is not exactly glamorous,Durham,general,0,,,0, to be honest I meant LOCATION1  end isn't exactly glamorous,"[('Durham', 'GPE')]"
try the harlequin shopping centre in Greater Manchester,Greater Manchester,shopping,1,,,0, try the harlequin shopping centre in LOCATION1,"[('Greater Manchester', 'GPE')]"
unless the area is really expensive It is not a good areaBedfordshire in general can be quite rough,Bedfordshire,safety,0,,,0," unless the area is really expensive It is not a good area,LOCATION1 in general can be quite rough","[('areaBedfordshire', 'GPE')]"
you absolutely have to check East Sussex out,East Sussex,general,1,,,0, you absolutely have to check LOCATION1 out,"[('East Sussex', 'GPE')]"
you can actually get the train directly from London airports to West Sussex too,West Sussex,transit-location,1,,,0, you can actually get the train directly from London airports to LOCATION1 too,"[('London', 'GPE'), ('West Sussex', 'GPE')]"
you can buy a property round by Lincolnshire which is one of the cheapest areas in Inner London,Lincolnshire,price,1,,,0, you can buy a property round by LOCATION1 which is one of the cheapest areas in Inner London,"[('Lincolnshire', 'GPE'), ('Inner London', 'GPE')]"
you can travel into Central London on the DLR easily from al over Greater Manchester and there are night buses all night to take you back,Greater Manchester,transit-location,1,,,0, you can travel into Central London on the DLR easily from al over LOCATION1 and there are night buses all night to take you back,"[('Central London', 'GPE'), ('Greater Manchester', 'GPE')]"
you could go to Berkshire thats comparitively cheap and quite safe,Berkshire,safety,1,Berkshire,price,1," you could go to LOCATION1, that's comparitively cheap and quite safe","[('Berkshire', 'GPE')]"
you could try living in towns like Warwickshire or Bedfordshire,Bedfordshire,live,1,Warwickshire,live,1, you could try living in towns like LOCATION2 or LOCATION1,"[('Warwickshire', 'GPE'), ('Bedfordshire', 'GPE')]"
you have nothing to fear in Cheshire its safe,Cheshire,safety,1,,,0, you have nothing to fear in LOCATION1  it's safe,"[('Cheshire', 'GPE')]"
you should maybe try Merseyside for convenience of travel and because of 2012 olympics,Merseyside,general,1,Merseyside,transit-location,1, you should maybe try LOCATION1 for convenience of travel and because of 2012 olympics,"[('Merseyside', 'GPE')]"
you will have no problems there Oxfordshire is a nice place,Oxfordshire,safety,1,Oxfordshire,general,1, you will have no problems there LOCATION1 is a nice place,"[('Oxfordshire', 'GPE')]"
you wo not meet many scary poor people there Northamptonshire is a posh area  unlike where i am,Northamptonshire,price,0,,,0," you wo n't meet many scary poor people there LOCATION1 is a posh area , unlike where i am","[('Northamptonshire', 'GPE')]"
 Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops  making the Hampshire seem a bit cut off at times,Hampshire,transit-location,0,,,0,"'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the LOCATION1 seem a bit cut off at times","[('Similarly', 'GPE'), ('Hampshire', 'GPE')]"
 Norfolk is great for lazy Sunday morning walks ,Norfolk,general,1,,,0,( LOCATION1 is great for lazy Sunday morning walks ),"[('Norfolk', 'GPE')]"
However the best Thai restaurant in all of London is in West Yorkshire I would not live in Shropshire but one of the burbs,Shropshire,live,0,West Yorkshire,dining,1,(However the best Thai restaurant in all of London is in LOCATION2)   I wouldn't live in LOCATION1 but one of the burbs,"[('London', 'GPE'), ('West Yorkshire', 'GPE'), ('Shropshire', 'GPE')]"
I live in Gloucestershire and think its great,Gloucestershire,live,1,,,0,(I live in LOCATION1 and think its great,"[('Gloucestershire', 'GPE')]"
West Yorkshire is a lot further out btw,West Yorkshire,transit-location,0,,,0,(LOCATION1 is a lot further out btw),"[('West Yorkshire', 'GPE')]"
No offence to anyone living there we used to visit someone in West Yorkshire and it was SOOOOOOOOOOOO DEPRESSING,West Yorkshire,general,0,,,0,"(No offence to anyone living there), we used to visit someone in LOCATION1 and it was SOOOOOOOOOOOO DEPRESSING","[('West Yorkshire', 'GPE'), ('SOOOOOOOOOOOO', 'GPE')]"
avoid Warwickshire,Warwickshire,general,0,,,0,(avoid LOCATION1),"[('Warwickshire', 'GPE')]"
highly recommended Warwickshire,Warwickshire,general,1,,,0,(highly recommended) LOCATION1,"[('Warwickshire', 'GPE')]"
 And no need to worry about problems with the area because Isle of Wight is a safe and pleasant suburban town,Isle of Wight,safety,1,,,0,) And no need to worry about problems with the area because LOCATION1 is a safe and pleasant suburban town,"[('Isle of Wight', 'GPE')]"
 I should mention that the area on the Rutland side of Rutland is generally a bit quieter and leafier,Rutland,green-nature,1,Rutland,quiet,1,) I should mention that the area on the LOCATION1 side of LOCATION1 is generally a bit quieter and leafier ,"[('Rutland', 'GPE'), ('Rutland', 'GPE')]"
 If you can afford to be close to London consider Hertfordshire  its probably the nicest area within spitting distance of London,Hertfordshire,price,0,Hertfordshire,general,1,") If you can afford to be close to London  consider LOCATION1 , its probably the nicest area within spitting distance of London","[('Hertfordshire', 'GPE'), ('London', 'GPE')]"
 Worcestershire and Somerset are bloody gorgeous   but again  VERY expensive,Somerset,general,1,Worcestershire,general,1,") LOCATION1 and LOCATION2 are bloody gorgeous , ( but again , VERY expensive","[('Worcestershire', 'GPE'), ('Somerset', 'GPE')]"
 East Sussex is very central  and its easy to get to anything  but its not very residential,East Sussex,transit-location,1,,,0,") LOCATION1 is very central , and its easy to get to anything , but its not very residential","[('East Sussex', 'GPE')]"
 Bristols full of hotels too much into the turistic thing but of course its just what I think and that does not count,Bristol,touristy,1,,,0,") LOCATION1's full of hotels, too much into the turistic thing  but of course it's just what I think and that doesn't count","[('Bristols', 'GPE')]"
 and Derbyshire also have lots of flatshares and good transport links,Derbyshire,transit-location,1,,,0,) and LOCATION1 also have lots of flat-shares and good transport links,"[('Derbyshire', 'GPE')]"
 and Oxfordshire and Wiltshire a bit further in on that side  but not very hip and happening a bit drab,Oxfordshire,general,0,Oxfordshire,transit-location,0,", and LOCATION1 and LOCATION2, a bit further in on that side , but not very hip and happening, a bit drab","[('Oxfordshire', 'GPE'), ('Wiltshire a', 'GPE')]"
 The high street gets very busy at the weekend and in the summer because Durham is listed in all the tourist guides as a must see alternative place in London,Durham,quiet,0,Durham,touristy,1,- The high street gets very busy at the weekend and in the summer because LOCATION1 is listed in all the tourist guides as a 'must see' alternative place in London,"[('because', 'GPE')]"
 Norfolk is a nice place to live,Norfolk,live,1,,,0,:) LOCATION1 is a nice place to live,"[('Norfolk', 'GPE')]"
 have you tried somewhere on the outskirts like West Sussex or Suffolk ect,Suffolk,general,1,West Sussex,general,1,"< have you tried somewhere on the outskirts, like LOCATION1, or LOCATION2, ect","[('West Sussex', 'GPE')]"
 Northumberland and Northumberland area is still the cheapest to rent AND to buy in London,Northumberland,price,1,Northumberland,price,1,= LOCATION2 and LOCATION1 area is still the cheapest to rent AND to buy in London,"[('Northumberland', 'GPE'), ('Northumberland', 'GPE'), ('London', 'GPE')]"
A bit further out towards the suburbs are Northumberland and Northamptonshire which are pleasant areas,Northumberland,transit-location,0,Northamptonshire,general,1,A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas ,"[('Northumberland', 'GPE'), ('Northamptonshire', 'GPE')]"
A cheaper option yet is Greater London which is just right over the river from Greater London,Greater London,price,1,,,0,A cheaper option yet is LOCATION1 which is just right over the river from LOCATION1,"[('Greater London', 'GPE'), ('Greater London', 'GPE')]"
A cool place to eat and drink in Hertfordshire is South Yorkshire,South Yorkshire,nightlife,1,South Yorkshire,dining,1,A cool place to eat and drink in LOCATION2 is LOCATION1,"[('Hertfordshire', 'GPE'), ('South Yorkshire', 'GPE')]"
A great place Northamptonshire Middx is not in London and is only a postal name as Suffolk is now Surrey ,Northamptonshire,general,1,,,0,A great place LOCATION1 Middx is not in London and is only a postal name as LOCATION2 is now Surrey -,"[('Northamptonshire Middx', 'GPE'), ('Surrey', 'GPE')]"
A new Sainsburys local has just opened next to Lincolnshire,Lincolnshire,shopping,1,,,0,A new Sainsbury's local has just opened next to LOCATION1,"[('Lincolnshire', 'GPE')]"
A visit to one of the Westfield shopping centres at Rutland,Rutland,shopping,1,,,0,A visit to one of the Westfield shopping centres at  LOCATION1,"[('Westfield', 'GPE'), ('Rutland', 'GPE')]"
AND JUST TO LET YOU KNOW Kent AND South Yorkshire IS A BEAUTIFUL AREA WITH LOADS OF PRETTY GARDENS SQUARES AND PARKS BUT STILL REALLY URBAN AND FANCY IT CAN GET NOISY BUT THATS PRETTY MUCH IT,South Yorkshire,green-nature,1,South Yorkshire,general,1,AND JUST TO LET YOU KNOW LOCATION1 AND LOCATION2 IS A BEAUTIFUL AREA WITH LOADS OF PRETTY GARDENS SQUARES AND PARKS BUT STILL REALLY URBAN AND FANCY  IT CAN GET NOISY BUT THATS PRETTY MUCH IT,"[('LET', 'GPE'), ('KNOW', 'GPE'), ('Kent', 'GPE')]"
Actually East Sussex is quite expensive because of the cricket ground and its close proximity to Vaxhaull,East Sussex,transit-location,1,East Sussex,price,0,Actually LOCATION1 is quite expensive because of the cricket ground and its close proximity to Vaxhaull,"[('East Sussex', 'GPE')]"
Actually Worcestershire is not on the tube network,Worcestershire,transit-location,0,,,0,Actually LOCATION1 isn't on the tube network,"[('Worcestershire', 'GPE')]"
Actually the private rents in Devon seem affordable by London standards,Devon,price,1,,,0,"Actually, the private rents in LOCATION1 seem affordable by London standards","[('Devon', 'GPE')]"
Add Northumberland and Norfolk as good areas,Norfolk,general,1,Northumberland,general,1,Add LOCATION1 and LOCATION2 as good areas,"[('Northumberland', 'GPE'), ('Norfolk', 'GPE')]"
Ah I can dream Kent  lots to do around there but it is quiet on the weekends and is very peaceful,Kent,quiet,1,,,0,"Ah, I can dream  LOCATION1 - lots to do around there but it is quiet on the weekends and is very peaceful","[('Kent', 'GPE')]"
Airportwise theres not much in it Hertfordshire and West Midlands all have good tranport links to central London,Hertfordshire,transit-location,1,West Midlands,transit-location,1,Airport-wise theres not much in it  LOCATION2 and LOCATION1 all have good tranport links to central London,"[('Hertfordshire', 'GPE'), ('West Midlands', 'GPE'), ('London', 'GPE')]"
All around Greater Manchester there are many rich people in their classy homes,Greater Manchester,price,0,,,0,All around LOCATION1 there are many rich people in their classy homes,"[('Greater Manchester', 'GPE')]"
All crime figures are below average but Somerset is more dangerous than either of the other two places,Somerset,safety,0,,,0,All crime figures are below average but LOCATION1 is more dangerous than either of the other two places,"[('Somerset', 'GPE')]"
All free I think your two would probably also enjoy the huge botanic gardens at Lancashire,Lancashire,green-nature,1,,,0,All free  I think your two would probably also enjoy the huge botanic gardens at LOCATION1  ,"[('Lancashire', 'GPE')]"
All in all  I think Bedfordshire is the best place in London to live,Bedfordshire,live,1,,,0,"All in all , I think LOCATION1 is the best place in London to live","[('Bedfordshire', 'GPE')]"
All in all I think either Dorset or Devon are the worst areas Ive ever been in the east end of London,Devon,general,0,Dorset,general,0,All in all I think either LOCATION2 or LOCATION1 are the worst areas I've ever been in  the east end of London ,"[('Dorset', 'GPE'), ('Devon', 'GPE')]"
All these places except for Berkshire have their own mainline stations Southeastern which will get you into Central London Cambridgeshire in 25 minutes or less,Berkshire,transit-location,0,,,0,"All these places, except for LOCATION1, have their own mainline stations (Southeastern) which will get you into Central London (LOCATION2) in 25 minutes or less","[('Berkshire', 'GPE'), ('Central London', 'GPE'), ('Cambridgeshire', 'GPE')]"
Alot of Oxfordshire is being redeveloped so getting better and better,Oxfordshire,general,1,,,0,"Alot of LOCATION1 is being redeveloped, so getting better and better","[('Oxfordshire', 'GPE')]"
Alright for some Staffordshire or Cornwall would be best,Cornwall,general,1,Staffordshire,general,1,"Alright for some, LOCATION1 or LOCATION2 would be best ","[('Alright', 'GPE'), ('Staffordshire', 'GPE'), ('Cornwall', 'GPE')]"
Also Staffordshire which is slightly more mixed demographic compared to the more affluent Lancashire but certainly up and coming it has good amenities on the Jubilee line which is very efficient and a Sainsburys,Staffordshire,general,1,Lancashire,price,0,"Also  LOCATION2 which is  slightly more mixed demographic compared to the more affluent LOCATION1 but certainly up and coming, it has good amenities (on the Jubilee line which is very efficient and a Sainsburys)","[('Staffordshire', 'GPE'), ('Lancashire', 'GPE'), ('Jubilee', 'GPE')]"
Also  nearby Suffolk is also great  they have a microbrewery that brews and sells its own beer on site,Suffolk,general,1,,,0,"Also , nearby LOCATION1 is also great , they have a microbrewery that brews and sells its own beer on site","[('Suffolk', 'GPE')]"
Also West Midlands and Suffolk are both quite safe nowadays,West Midlands,safety,1,Suffolk,safety,1,Also LOCATION1 and LOCATION2 are both quite safe nowadays,"[('West Midlands', 'GPE')]"
Also Shropshire has a train station to but not London Underground but national rail which can take you to Northumberland,Shropshire,transit-location,1,,,0,Also LOCATION1 has a train station to but not London Underground but national rail which can take you to LOCATION2,"[('Shropshire', 'GPE'), ('Northumberland', 'GPE')]"
Also Cambridgeshire i like so much but its a bit more expensive,Cambridgeshire,general,1,Cambridgeshire,price,0,"Also LOCATION1 i like so much, but it's a bit more expensive  ","[('Cambridgeshire', 'GPE')]"
Also Kent although its a bit of a train journey to work the lifestyle is very good Rutland has a bit of a reputation,Rutland,general,0,Kent,transit-location,0,"Also LOCATION2, although it's a bit of a train journey to work, the lifestyle is very good  LOCATION1 has a bit of a reputation","[('Kent', 'GPE'), ('Rutland', 'GPE')]"
Also avoid Bedfordshire and Herefordshire,Herefordshire,general,0,Bedfordshire,general,0,Also avoid LOCATION1 and LOCATION2,"[('Bedfordshire', 'GPE'), ('Herefordshire', 'GPE')]"
Also consider Bristol as well  its right next to Canada Water,Bristol,general,1,,,0,Also consider LOCATION1 as well - it's right next to Canada Water,"[('Bristol', 'GPE'), ('Canada Water', 'GPE')]"
